PostType,Post_Content,Associated_ISP_Network,Associated_SocialMedia_Name,UserRole,Time,Email,User_Name,User_gender,User_age,User_age_group,Content_Associated_Media,Comment_Info_On_Post,User_Comment_On_Post,Post_Id,AI_Content_Similarity_Score,Fraud_detection_score,Associated_Page,Associated_Group,Likes,Comments,Hate,Loves,Shares,Views,Region,City,Time_Foreign_ID
Event,"Management summer as police ability. Back hand by cut religious language science.
Yeah sing Mr camera color. Tree director send Congress fight walk computer. Official network nice avoid matter.",ORANGE,LinkedIn,Poster,2024-11-11 06:53:34,ericsmith@example.net,sharon84,F,69,60s,99595855b4e27433348a331d7e461452,"Pull eight day.
Phone professional four point radio. Pull foot as life. Follow white factor leader.",On drop past strategy. Game year as from his international deal.,c5305643-054b-4111-a749-79b01b76f64e,0.57,0.24,ward.com,type,747,481,85,176,180,6752,Southwest,Ebolowa,71fa1f24a355337f1c9f0961829624a1970fe2e4b43c78d67b75b8a7e74c1ec7
Survey,"Red kitchen education really mind successful I such. Right subject after.
Level lawyer manage owner always. Face technology attorney worker successful than.",MTN,LinkedIn,Commenter,2015-03-07 21:42:22,esantos@example.net,wilsonmarissa,F,59,50s,afd1ae60266861287612647597b21d2b,New town even. Myself hit way myself. Human production ever.,Adult especially sport. Serve half believe until media try moment five.,4a944219-e871-4cd2-a734-bd713c0abb88,0.01,0.36,king.com,stop,805,281,64,182,89,5922,North,Yaounde,cb14d789f1db435cc5b823e37a99cfe70b70202016c0a18576d098f92363c620
Event,"Bank simply expect with probably water. Into area continue style very notice example.
Natural several wind authority amount daughter increase hotel. But focus worry commercial.",CAMTEL,Facebook,Commenter,2021-05-10 00:06:45,snyderariana@example.org,jperez,F,39,Late-30s,1c62862aa965eb0b09a87f026dc2ca63,Building approach page education along worker. Marriage common window civil.,Success today practice financial. Character value interesting account on peace red sometimes.,25ddd32f-8c68-465e-b424-f8d40fbf68ff,0.51,0.08,schroeder-bautista.com,white,843,217,40,43,68,9995,Central,Bafoussam,bac60c5eefcc8dcb9d287f81b7d2f98630868272684735d7c3640de0786fb269
Event,"Month special pay student leader bed box. Open lawyer cup bank point.
Wind character offer brother water building though. Measure fund still would though you college summer.",MTN,Facebook,Commenter,2018-06-15 19:10:06,amber17@example.org,jbaker,F,85,80s,9956271ca8e42f1853d2f3dd06bd63e5,Off then bring real her road speech. Run cover like approach perform ten.,Become out decide available could. Fear remain should argue raise.,a2d12056-396d-4770-b800-207bc4c47d8e,0.18,0.55,anderson.com,easy,32,443,92,67,196,6407,Central,Bafoussam,64f013bfa64155b72b4d2d0a7a6c9e143b5c54a08cb51f5f671d5941bc08c42c
Ad,Nature seek politics. Back method seek avoid yet. Along gas win fish figure today.,MTN,LinkedIn,Poster,2017-12-08 03:37:35,franciscobarnes@example.org,riverskelly,F,53,50s,86d30ec883f2cf86e5194dd872451b96,Should political Mrs call hair. Quickly drug street show.,Professional make they. Prepare public make. Claim speech open.,6b9f3f04-c5c4-461d-9d92-68eaba893aab,0.26,0.04,roberson.com,fight,447,168,88,89,76,2631,Central,Garoua,6d0a242a8b1571bed46ad5b3d0a95d6dda6e5037fd506572ddab76e656bc50e9
Survey,Well free respond face sometimes majority. Sometimes between sea rich improve time.,ORANGE,LinkedIn,Poster,2019-09-24 15:18:42,harrelldiane@example.com,hansonjames,F,86,80s,d6c96598fca934f6a863584d311f915d,White alone strategy score. Congress under unit.,Likely father from sing. Before reach always sport him.,36ae8d8b-d38c-4cea-b179-cadb122bb648,0.31,0.99,mendoza-wise.org,young,973,28,90,60,128,8053,East,Ebolowa,b3fd4006501da2f8187a8b1fd43d5506e5d51fcb4a456fff9cc4d9d4c5413d28
Event,"Run effort spend situation. Family military or idea assume military. Perform phone report know.
Congress never such beat. Build none every fill find.",CAMTEL,Twitter,Commenter,2021-08-06 03:43:52,mrichmond@example.net,austinbilly,F,14,Teenager,58feab6bf560ec31271f27bcb024d8f2,Name soon spend soon mission magazine. Place item perform.,Agency dinner return their.,03963e33-5333-4f33-9414-39c833782431,0.36,0.59,long.info,if,249,396,28,145,79,2790,East,Limbe,65c80d22818d1f5c69af5fbc65e99efd86ef3199d616ac88876f231ddc4e1314
Event,"Believe commercial natural not use. Policy letter PM popular offer. Letter machine play.
Family right economic place skin read good. Mouth red strong ago prove describe.",ORANGE,Facebook,Commenter,2019-02-10 02:06:39,anthony94@example.net,eric83,F,92,90s-100s,b0f35778c6ba1f4bf65ad1266f0b46be,Start evidence western strategy. Song leader inside tell bit front officer age.,Late data yourself visit production.,509c312a-8713-466e-a461-aeaf1e0b2d38,0.97,0.66,king-drake.biz,strategy,955,34,57,296,111,2310,Central,Bafoussam,38ff98eda032194e9d3bf2d6d3240f86577bfcf4fa8dde412706c1e5764c1897
Ad,"Paper trip trouble imagine season. Civil face yard oil car.
Bank nation return specific dog resource. Citizen economy just term structure notice skill. National still conference.",ORANGE,Facebook,Poster,2023-05-17 01:23:45,lnorton@example.org,amber63,F,60,60s,29fa5087adcb6fec6b6af2dae902c47f,Accept similar movie child. Drive energy pressure position level as their moment.,Food participant magazine heavy. Too today across help.,7e105a28-6222-44a6-a789-b28637702a44,0.92,0.23,hicks-wilson.com,customer,121,401,91,64,175,2955,West,Maroua,84881d4d50a4ff9d4b78807bee7ac27aea93a26fedef83c5f3fc04a700982633
Ad,Collection choose many federal. Public after mention sea push owner five. Spring specific but.,MTN,Facebook,Commenter,2021-12-30 07:07:39,nathanielthomas@example.org,gregory12,M,73,70s,72221287c49acae8f3e54226821d7b59,"Another choice from have know indeed strong.
Set whom others table. Music trade blue treat white.",Every class current back dinner. Shoulder finish serious.,5bce3676-9a7b-4b59-91b3-507e3dddc778,0.23,0.4,torres.net,meeting,243,85,24,198,190,2080,Adamaoua,Yaounde,222af043bdb8ca52256a037fae44b90f3a9c683d2a552b5fcacad34d467739cb
Survey,Maintain speech like carry ahead. Computer girl public better listen. Meet wait sense establish. Music small little.,CAMTEL,Facebook,Poster,2021-09-27 05:41:21,stephensheather@example.net,james03,M,90,90s-100s,441fc1db8d806aaf60eb88431dfff62a,Green cut school through. Push score coach sell war improve coach.,End recently ok face civil community stop. Girl and while agency however knowledge.,93e936d0-428d-4d0e-a3d0-3cd27d172fcd,0.8,0.27,mcneil.net,we,394,150,57,124,79,3982,Northwest,Garoua,bed7e29fd5e80e6ecd5c4031518322ac7460f916dd3ee9fca5024f57dc192cab
Ad,"Push perform boy. Mrs less space operation believe use.
Week against sing institution group hand. Smile shake line the as response. Political plant stop.",ORANGE,Facebook,Commenter,2016-02-19 22:16:06,claypatrick@example.net,william27,F,72,70s,5b5765dcfa46ab6093d48a9d9ad1e392,Officer along feel author cold. Find beautiful instead.,Financial chance catch nature ground me. Apply someone land during old official yeah.,f115ca3a-9e2b-41c8-8b3e-8b29cc4a10bf,0.1,0.31,jones.net,blood,86,484,73,120,84,943,North,Maroua,d3baedbf44b4fb170b0aa9f2d72651c95d55595ecc101e328c25825a469a3777
Ad,"Voice fight education fund. Father imagine discuss off respond wind.
Play player little my address. Second issue successful current. Yourself audience task four call sort.",CAMTEL,Twitter,Commenter,2015-08-13 06:03:00,sarahsanchez@example.org,desireeanderson,M,73,70s,80c5add88ae5197f66169b8e50750f14,Increase second close explain together class really. Fight television white.,Factor popular sense join much. Level program make voice upon mind.,b21a2742-a924-4c32-9896-668a35f3e1b1,0.5,0.47,rosales-peterson.com,human,443,426,51,270,103,6354,Central,Douala,efc649b01ba79041d551a0f1f2c0c49e3905d1d6bb0d5864958f871047de810d
Ad,"Call detail enjoy war. Analysis audience economy once cup century.
Great industry music admit. From certainly than system add buy.",MTN,LinkedIn,Commenter,2017-01-28 12:30:55,mcdonaldmonica@example.org,james59,F,93,90s-100s,a477a228e72bc8db90a25927f2187c13,Author seat environmental land. Organization national tree.,In tough keep environment. Prove beyond out force relationship including main lose.,f88b499e-6456-4613-ba69-e14c1d33cafa,0.75,0.17,santiago.net,tough,114,259,49,24,145,3891,East,Ebolowa,5147ef87dbc4323b473a89de933e9a1fd80501880889d52d550bd56e483ee666
Survey,Product race discover five wish could general brother. Record response account gun fly computer each. Surface though particular position dinner. Body less put style easy actually today upon.,ORANGE,LinkedIn,Commenter,2020-01-15 08:23:57,katherinethomas@example.com,patricia50,F,68,60s,fa2ad61eb0656a792318577a2e25e72c,Professional foreign usually sense. Group arrive fear baby prevent. Quality star your evening.,Bit stuff value off challenge. Data determine that receive American possible argue.,3bfb6b1d-ba1a-4f69-915e-eaf3d0c942c6,0.16,0.23,smith.com,in,967,3,10,170,164,8037,Southwest,Ngaoundere,a527a12aa987d7b0c006ba570d987861421413b27a496411938825946ff9d04b
Event,"Event federal quality then should risk magazine. Effect movie drug program different.
Possible note himself condition her. Personal perform fill financial girl.",MTN,Facebook,Poster,2024-07-24 02:28:07,alan93@example.com,kelleytimothy,M,100,90s-100s,692161dff2bc0382536eac80c812b536,Threat dog stop debate.,Contain possible low teach bag last. Discussion chance nature through.,c5bdd5ae-fd0f-4317-b563-0ff447824f60,0.59,0.13,odom.com,again,950,467,81,260,104,2082,Adamaoua,Buea,1b74384db0137be81d2e22167cd1ba81660704e6117f9a77e6b1161ba2e2e016
Ad,"Yet human result happy. Despite pull month vote though. Give general food miss little conference pass.
Tv change job method my. Fine daughter color none relate against book mention.",MTN,Facebook,Poster,2021-04-08 20:16:11,vcampos@example.com,jamesmcbride,M,46,40s,fca35b1fc462f433105320eda278cc27,Window federal strong red seem like lead. Travel section interest operation.,Physical value foot list.,93e3e9c7-3bd6-4842-892b-04988e299b61,0.04,0.64,parsons-green.biz,turn,477,237,43,80,157,2222,West,Bamenda,33edb447c76e4b6575acce2a2560abae58cb7fd69a09ad3064477f480b8b5eb5
Event,"Despite find arm. Story all control notice significant visit.
Health car year. Never region past happy property bit cold.
Happen cover power sure. Popular professor behind nice national shoulder.",MTN,LinkedIn,Poster,2021-07-04 11:16:30,jason62@example.org,amanda88,M,40,40s,4b02e5e263a98c6336b5638b26989755,Rule civil before eight anything we. Hand material within board live.,Forget to others try thought accept until. Among type effect next be.,62c5cc6a-b371-41bc-877f-da2f51530848,0.52,0.38,robinson.org,box,216,125,87,195,128,4131,Central,Garoua,7b6340ca155df0389af12bd1916a55703214abaf92817f0d780d13e954275bed
Ad,"Year play really answer own memory tonight. Question will understand entire dog whether.
Me trial audience Mrs imagine shoulder cut. Entire see before worker report then grow.",CAMTEL,Twitter,Poster,2015-11-01 08:37:19,caseyholloway@example.org,carrie51,M,62,60s,4b97807ded3378c359b517f1acb727c6,Lose set bar simply their give. Bit week strong according name bad.,Staff place business place least benefit off.,d003a1b2-e11a-4ece-aaaa-06b77cba4ef4,0.37,0.63,pham.com,child,26,90,22,187,16,5239,Adamaoua,Garoua,01d6745d3c864f29edbc8b7964a170ed398c43e5d5d54c7d59b8e8ab8cef3bcf
Ad,"Just ok decade relate ask political national. Out lot somebody new serious day.
Mention blue federal certain central college. Itself machine mother create support bring painting.",CAMTEL,Twitter,Commenter,2015-04-15 08:05:36,michael51@example.com,bmoore,M,84,80s,d46426b21fa9e3ac1a5a6f9d25b8fa12,Fire bit together board bag road. Husband whose answer simple establish.,Study want stand force card. Quickly high late she.,61383071-1999-4d9d-9e78-1b0aca098275,0.77,0.8,ramos-alexander.com,performance,302,42,57,107,43,3284,East,Douala,2d234082216bd4b4990971e4941586f544d6db96f8e217d1c44d623e768e3203
Event,Edge task air the. Why decision drop law over care international.,ORANGE,Facebook,Poster,2020-10-05 16:08:13,ehinton@example.com,stacy66,M,69,60s,33a8f8a4443734c5a6906ec3be2482e9,Push while may remember head mouth than crime. Hand heavy really ground unit.,Tough bag bring cup surface sing blue. Court lay start music.,b115e987-4ea4-4025-ad03-b33c4e4f20f0,0.2,0.37,ramos.net,of,807,53,44,69,13,6458,South,Maroua,66782dfde1eed4dc576f12ca7697e926c38ec832dbc6774af1196262c98efc37
Survey,International home share sign edge record agent. Rest authority ability thousand dog.,MTN,Facebook,Poster,2024-10-29 07:32:36,parsonsmary@example.org,brandytran,M,76,70s,f54053786cf43e75e8d2cb6ace67ea11,Along former trial five physical none. Girl learn compare hair.,Opportunity son seven young before. Teach rest should detail.,35873a0f-e73a-4c90-af45-4520ed33676b,0.34,0.81,nelson.com,value,198,152,61,202,82,7597,North,Maroua,9a542ca5b6d831e77a1319be1e806d52308ee3e33010820d379ddc333b22b009
Survey,"Mr practice red law reality food send. Else realize unit adult. Position event development night.
Music health Democrat game interest structure knowledge.",ORANGE,Twitter,Poster,2017-06-02 14:51:10,cruzedward@example.org,sellerskaitlin,M,46,40s,2900917adf492ba57d4a99aa4d359066,Issue lose stand game.,Wrong operation month seek. Manage rather course avoid understand.,853edde3-e2df-4a08-aee8-4e099fef6e84,0.84,0.49,ortega-morgan.biz,assume,207,359,61,7,180,2331,Far North,Douala,fd32e5b9b067d8287a33dbe85852d8909a788cad8535851debb8dffae7aece7c
Ad,"By job so behavior involve cup. Somebody approach minute main action.
Even anything figure floor. Student site medical along also whether anything. Character improve magazine.",MTN,Facebook,Poster,2021-07-24 04:36:39,loriellis@example.com,michaeltate,F,72,70s,434ecfcb87b6db0cb69a82df55c9b969,Role rather two name. Not foreign note several degree.,Exist compare common story. Year knowledge treatment material argue marriage size.,946583a2-569f-4a6a-b3da-1acc3369e13e,0.37,0.46,diaz.org,still,95,364,36,203,48,2902,Central,Ebolowa,07fdb4524b7afa38ebea203524490eeaec2a5adeb5cd0770c284f434785c1013
